"TAXONIDCH","ACCEPTEDNAME","USAGEKEY","ACCEPTEDUSAGEKEY","SCIENTIFICNAME","RANK","SOURCE"
"","Arctostaphylos alpinus (L.) Spreng.","8317978","","","","INFOFLORA"
"","Arctostaphylos uva-ursi (L.) Spreng.","2882580","","","","INFOFLORA"
"","Aremonia agrimonoides (L.) DC.","2988624","","","","INFOFLORA"
"","Arenaria biflora L.","7267924","","","","INFOFLORA"
"","Arenaria ciliata L.","7756154","","","","INFOFLORA"
"","Arenaria ciliata subsp. bernensis Favarger","8179001","","","","INFOFLORA"
"","Arenaria gothica Fr.","6364255","","","","INFOFLORA"
"","Arenaria grandiflora L.","7553558","","","","INFOFLORA"
"","Arenaria leptoclados (Rchb.) Guss.","5384470","","","","INFOFLORA"
"","Arenaria marschlinsii K.Koch","5585427","","","","INFOFLORA"
"","Arenaria multicaulis L.","7950991","","","","INFOFLORA"
"","Arenaria serpyllifolia L.","8089871","","","","INFOFLORA"
"","Argyrolobium zanonii (Turra) P.W.Ball","2963689","","","","INFOFLORA"
"","Aristolochia clematitis L.","2873991","","","","INFOFLORA"
"","Aristolochia lutea Desf.","3589122","","","","INFOFLORA"
"","Aristolochia pallida Willd.","7313694","","","","INFOFLORA"
"","Aristolochia rotunda L.","2874019","","","","INFOFLORA"
"","Armeria alpina Willd.","7136582","","","","INFOFLORA"
"","Armeria arenaria (Pers.) F.Dietr.","11310169","","","","INFOFLORA"
"","Armeria arenaria (Pers.) Schult.","8129694","","","","INFOFLORA"
"","Armeria purpurea W.D.J.Koch","5668220","","","","INFOFLORA"
"","Armoracia rusticana G.Gaertn. et al.","8245698","","","","INFOFLORA"
"","Arnica chamissonis Less.","5405938","","","","INFOFLORA"
"","Arnica montana L.","5405976","","","","INFOFLORA"
"","Arnoseris minima (L.) Schweigg. & Körte","3087403","","","","INFOFLORA"
"","Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl","2704505","","","","INFOFLORA"
"","Artemisia abrotanum L.","8042568","","","","INFOFLORA"
"","Artemisia absinthium L.","3121319","","","","INFOFLORA"
"","Artemisia alba Turra","3121088","","","","INFOFLORA"
"","Artemisia annua L.","8373355","","","","INFOFLORA"
"","Artemisia biennis Willd.","3121226","","","","INFOFLORA"
"","Artemisia borealis Pall.","6064327","","","","INFOFLORA"
"","Artemisia campestris L.","3121461","","","","INFOFLORA"
"","Artemisia campestris subsp. alpina (DC.) Arcang.","6077547","","","","INFOFLORA"
"","Artemisia dracunculus L.","3121581","","","","INFOFLORA"
"","Artemisia genipi Weber","7511951","","","","INFOFLORA"
"","Artemisia glacialis L.","8102092","","","","INFOFLORA"
"","Artemisia nivalis Braun-Blanq.","3121499","","","","INFOFLORA"
"","Artemisia pontica L.","8195160","","","","INFOFLORA"
"","Artemisia umbelliformis Lam.","3120864","","","","INFOFLORA"
"","Artemisia vallesiaca All.","3121493","","","","INFOFLORA"
"","Artemisia verlotiorum Lamotte","3120790","","","","INFOFLORA"
"","Artemisia vulgaris L.","3120946","","","","INFOFLORA"
